name,timing,target,condition,effect,description
スクランブル！,終了,単体,8～12,［マリョク］を7 下げる。クラン全員がそれぞれ 1 Ｄをロールする（この効果には［ノックアウト］でも例外的に参加できる）。ロールしたダイスの［出目］を合計したダメージを対象に与える。このダメージには［ダメージ増加］の《マギ》を使用できない。セッションに1 回使える。,クラン全員で一斉攻撃を仕掛けるマギ。メンバーの力が合わされば、どんな相手もぶっ飛ばせる！
諦め悪いんで／あきらめわるいんで,終了,クラン全員,1～6,クラン全員の【耐久値】を［1 Ｄ＋マリョク］点回復する。セッションに1 回使える。,絶体絶命のピンチで立ち上がるマギ。結局、最後は根性があればなんとかなる。マモノも人間も同じだ。
悪名高き／あくみょうだかき,効果参照,単体（クラン）,なし,【社会】が指定された［判定］の直前に使う。代わりに【身体】か【異質】でロールできる。あるいは「判定に【社会】を使用できない」というアクシデント表の効果を無視する。セッションに3 回使える。,社会的な信用が必要な場面を、強引に実力で突破するマギ。ますます評判が悪くなる気がしなくもない。
エース,効果参照,単体（クラン）,なし,「【イニシアチブ】の確認」（P188）で使用する。対象は【イニシアチブ】に関係なく次に［手番］を得る。すでに［手番］を行ったキャラクターは対象にできない。セッションに1 回使える。,全員が協力して、エースと呼べるメンバーを行動させるマギ。エースは状況によって変えていい。臨機応変というやつだ。
同志たち／どうしたち,効果参照,単体（クラン）,なし,対象が［ノックアウト］になった直後に使用する。対象の［ノックアウト］を回復し、【耐久値】を１５点にする。セッションに2 回使える。,おなじ目的や志を持つ仲間を支え、立ち上がる力を与えるマギ。心が折れないかぎり、負けではない。
特別部署／とくべつぶしょ,効果参照,単体（クラン）,なし,【身体】が指定された［判定］の直前に使う。代わりに【異質】か【社会】でロールできる。あるいは「判定に【身体】を使用できない」というアクシデント表の効果を無視する。セッションに3 回使える。,特別な目的のため、組織の内部に作られたクランであることを表すマギ。力ずくではなく、スマートに物事を進めるのだ。
人気グループ,効果参照,単体（クラン）,3～10,［住民］［店員］［警備員］などの［特性］があるエリアのみ使える。ダイスロールした直後に使用する。ロールしたダイス1 個の出目を2下げる。［ロケアクション］中は効果を発揮しない。セッションに3 回使える。,多くの人びとから慕われていることを表すマギ。他者から向けられる感情はマモノに大きな影響をおよぼす。
プランB,効果参照,単体（クラン）,1・3・5・7・9・11,対象がダイスロールした直後に使う。そのダイスロールをもう1 度やり直す。セッションに3 回使える。,思考を加速させて予想外の事態に対応するマギ。プランB とはなにか？ 本当にあるのか？ それを決めるのは、その場にいるヤツだ。
アレ出しとこうか,開始,クラン全員,なし,［ ロケアクション］が終わるまで、クラン全員が攻撃で与えるダメージを3 点増やす。セッションに1 回使える。,隠し武器や秘密兵器などを表すマギ。アレとはなにか？ それを決めるのはお前たちだ。
クラン体操第一／くらんたいそうだいいち,開始,クラン全員,なし,［ロケアクション］が終わるまで、クラン全員が受けるダメージを 3 点減らす。セッションに1 回使える。,クランで独自に作った運動や体操を表すマギ。準備運動を入念にしておけば、怪我をする確率がぐっと下がる。
戦闘集団／せんとうしゅうだん,常時,クラン全員,なし,対象が攻撃で与えるダメージを常に2 点増やす。,戦うために集まったクランであることを表すマギ。最初から覚悟が違うのだ。
スポーツチーム,常時,クラン全員,なし,対象の【イニシアチブ】は［1D ＋1］で決定する。ほかの《マギ》で【イニシアチブ】の決め方が変わっているＰＣは、この《マギ》の効果を受けない。,スポーツのために集まったクランであることを表すマギ。瞬発力はなによりも大事だ。
